epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1149.81,0.34085,0.48976,0.8785,0.99298,0.98711,0.99277,0.97676,0.25091,0.21163,0.7835,0.000753536,0.000753536,0.000753536
67,1166.67,0.33245,0.4663,0.87336,0.98096,0.98571,0.99404,0.97323,0.25078,0.21374,0.78303,0.000748036,0.000748036,0.000748036
68,1183.05,0.34351,0.46191,0.87459,0.96222,0.95714,0.99192,0.97329,0.24429,0.29157,0.78217,0.000742537,0.000742537,0.000742537
69,1198.44,0.34291,0.47232,0.87236,0.99221,0.97448,0.99412,0.9771,0.24167,0.23761,0.7832,0.000737037,0.000737037,0.000737037
70,1216.2,0.34445,0.45364,0.87273,0.99052,0.99891,0.995,0.97977,0.2425,0.20096,0.77849,0.000731538,0.000731538,0.000731538
71,1234.08,0.32972,0.45376,0.86554,0.99392,1,0.995,0.9865,0.24031,0.19617,0.77898,0.000726038,0.000726038,0.000726038
72,1250.49,0.32565,0.45225,0.87363,0.99088,0.99774,0.995,0.98186,0.23644,0.19379,0.78002,0.000720539,0.000720539,0.000720539
73,1267.85,0.32293,0.43037,0.86309,0.97275,0.99151,0.99168,0.97926,0.22812,0.21235,0.77685,0.00071504,0.00071504,0.00071504
74,1287.56,0.32814,0.44231,0.86944,0.97472,0.97455,0.97494,0.96517,0.22486,0.24084,0.77341,0.00070954,0.00070954,0.00070954
75,1304.86,0.32748,0.46693,0.86919,0.98277,0.99412,0.99305,0.97901,0.23371,0.19005,0.77537,0.000704041,0.000704041,0.000704041
76,1319.8,0.32553,0.45539,0.86166,0.97795,0.99196,0.99009,0.97402,0.22928,0.20509,0.77387,0.000698541,0.000698541,0.000698541
77,1334.4,0.32488,0.44299,0.86996,0.97803,0.97523,0.99299,0.97965,0.23331,0.20599,0.77261,0.000693042,0.000693042,0.000693042
78,1350.78,0.32853,0.45378,0.86945,0.97418,0.97738,0.98911,0.97723,0.22914,0.23148,0.77096,0.000687542,0.000687542,0.000687542
79,1367.54,0.31638,0.42836,0.86663,0.99216,0.98477,0.995,0.98459,0.23488,0.19712,0.77338,0.000682043,0.000682043,0.000682043
80,1383.84,0.32206,0.44389,0.86597,0.99357,0.99221,0.9946,0.98447,0.22869,0.19817,0.77459,0.000676543,0.000676543,0.000676543
81,1399.45,0.32152,0.44706,0.87239,0.9871,0.9876,0.99439,0.98622,0.22655,0.18471,0.77171,0.000671044,0.000671044,0.000671044
82,1417.47,0.31538,0.44764,0.86577,0.99469,0.99286,0.9946,0.9848,0.23131,0.18015,0.77658,0.000665545,0.000665545,0.000665545
83,1432.91,0.32237,0.43262,0.86441,0.99612,0.99286,0.99425,0.97863,0.22823,0.1818,0.77662,0.000660045,0.000660045,0.000660045
84,1449.21,0.31001,0.41665,0.85658,0.99373,0.99465,0.995,0.98112,0.22743,0.18241,0.77678,0.000654546,0.000654546,0.000654546
85,1467.23,0.32466,0.43178,0.87068,0.99295,0.99286,0.99479,0.98452,0.2281,0.18195,0.7745,0.000649046,0.000649046,0.000649046
86,1483.39,0.31191,0.41501,0.86346,0.98924,0.99286,0.99047,0.97874,0.22455,0.18497,0.77214,0.000643547,0.000643547,0.000643547
87,1498.79,0.31384,0.42905,0.86841,0.98617,0.99362,0.99413,0.98728,0.21494,0.18339,0.77203,0.000638047,0.000638047,0.000638047
88,1517.32,0.312,0.41407,0.87211,0.97247,0.98035,0.99223,0.98165,0.22959,0.21174,0.77457,0.000632548,0.000632548,0.000632548
89,1531.9,0.31085,0.41655,0.86536,0.98595,0.97795,0.99105,0.97703,0.22484,0.19297,0.77419,0.000627048,0.000627048,0.000627048
90,1548.95,0.32683,0.44745,0.86985,0.98994,0.99125,0.99079,0.96934,0.23883,0.19562,0.78057,0.000621549,0.000621549,0.000621549
91,1565.71,0.31755,0.43991,0.87103,0.98639,0.98888,0.9946,0.97934,0.22442,0.18808,0.77478,0.000616049,0.000616049,0.000616049
92,1580.23,0.31255,0.39696,0.8606,0.98594,0.99286,0.9946,0.9861,0.23613,0.18811,0.7741,0.00061055,0.00061055,0.00061055
93,1594.23,0.33165,0.42144,0.8759,0.98451,0.99286,0.99009,0.97491,0.23466,0.19019,0.77802,0.000605051,0.000605051,0.000605051
94,1610.8,0.3125,0.40683,0.85798,0.98326,0.98571,0.99386,0.97731,0.23372,0.20238,0.77548,0.000599551,0.000599551,0.000599551
95,1632.39,0.31849,0.43154,0.86745,0.98504,0.98425,0.98841,0.97477,0.22345,0.20421,0.77481,0.000594052,0.000594052,0.000594052
96,1651.56,0.31424,0.41914,0.86873,0.97986,0.97534,0.99234,0.98186,0.21931,0.20868,0.77379,0.000588552,0.000588552,0.000588552
97,1665.75,0.3103,0.42903,0.86718,0.99205,0.99286,0.99479,0.98573,0.22402,0.17745,0.77245,0.000583053,0.000583053,0.000583053
98,1683.13,0.31262,0.42543,0.87622,0.98833,0.99887,0.995,0.98462,0.2232,0.17001,0.77243,0.000577553,0.000577553,0.000577553
99,1700.94,0.30992,0.41627,0.86802,0.99586,0.99391,0.995,0.98525,0.21351,0.16548,0.77305,0.000572054,0.000572054,0.000572054
100,1718.14,0.30738,0.4017,0.86537,0.99644,0.99393,0.995,0.98562,0.2238,0.17253,0.77544,0.000566554,0.000566554,0.000566554
101,1734.28,0.307,0.41326,0.86618,0.99477,0.99791,0.995,0.98686,0.22549,0.17763,0.7743,0.000561055,0.000561055,0.000561055
102,1752.83,0.30806,0.39962,0.86263,0.99156,0.99695,0.995,0.98424,0.22705,0.17721,0.77193,0.000555556,0.000555556,0.000555556
103,1770.07,0.32126,0.42893,0.86887,0.99356,0.99402,0.99483,0.98349,0.22813,0.18623,0.77862,0.000550056,0.000550056,0.000550056
104,1785.72,0.30031,0.4019,0.86327,0.98368,0.99114,0.99479,0.98497,0.23577,0.1949,0.77876,0.000544557,0.000544557,0.000544557
105,1801.14,0.28605,0.39059,0.85315,0.98341,0.97741,0.99383,0.98761,0.22192,0.18578,0.77552,0.000539057,0.000539057,0.000539057
106,1818.32,0.30339,0.39078,0.85944,0.99091,0.99162,0.99479,0.98663,0.22671,0.17995,0.77389,0.000533558,0.000533558,0.000533558
107,1838.14,0.29212,0.39541,0.85178,0.98579,0.97806,0.99479,0.98247,0.22236,0.18801,0.77385,0.000528058,0.000528058,0.000528058
108,1853,0.31649,0.40782,0.8644,0.98462,0.99551,0.995,0.98406,0.2269,0.18888,0.77461,0.000522559,0.000522559,0.000522559
109,1866.85,0.29441,0.38323,0.86161,0.98792,0.99299,0.99143,0.98514,0.22598,0.18145,0.77201,0.000517059,0.000517059,0.000517059
110,1884.13,0.30955,0.39586,0.86783,0.98665,0.99286,0.99067,0.98464,0.21578,0.182,0.77161,0.00051156,0.00051156,0.00051156
111,1901.54,0.29982,0.38186,0.8582,0.98775,0.99324,0.99067,0.98091,0.21916,0.18083,0.77236,0.00050606,0.00050606,0.00050606
112,1917.14,0.28713,0.35629,0.85052,0.99357,0.99286,0.99047,0.98101,0.21941,0.18274,0.77214,0.000500561,0.000500561,0.000500561
